trail_name,trail_type,distance(miles),high_point(feet),elevation_gain(feet),difficulty,seasons,family_friendly,backpackable,crowded,latitude,longitude
Eagle Creek to Wahtum Lake,loop,23.1,,6984.0,Hard,,,,,45.63659,-121.91971
Eagle Crest Golf Course Trail Loop ,loop,2.2,,144.0,Easy,,,,,44.25962,-121.24898
Eagle Eye Lower Trail,out-and-back,1.4,,219.0,Easy,,,,,45.24614,-123.27469
Eagle Fern County Park Eastern Loop,loop,1.4,,357.0,Easy,,,,,45.32678,-122.28673
Eagle Rock Loop,loop,5.6,,183.0,Easy,,,,,44.28425,-121.54974
Eagle Rock and Above West Bay,out-and-back,4.4,,590.0,Easy,,,,,43.59588,-122.03312
Eagle-Fern County Park Loop Trail,loop,1.8,,321.0,Easy,,,,,45.32402,-122.28844
Eagles Rest Trail,out-and-back,4.9,,1328.0,Hard,,,,,43.83987,-122.71252
East Applegate Ridge Trail (EART),out-and-back,5.0,,357.0,Moderate,,,,,42.24514,-122.97814
East Fork Canyon Creek Trail,out-and-back,15.8,,2618.0,Moderate,,,,,44.26496,-118.88593
East Fork Loop Trail [CLOSED],loop,11.1,,1902.0,Moderate,,,,,44.11814,-122.20739
East Fork Lostine Trail 1662 to Mirror Lake,out-and-back,13.3,,2217.0,Moderate,,,,,45.24983,-117.37658
East Fork of Hood River,out-and-back,12.1,,974.0,Moderate,,,,,45.41663,-121.57078
East Fork to Glacier Lake to West Fork Loop,loop,31.4,,7047.0,Hard,,,,,45.26705,-117.2131
Eastbank Esplanade Loop Trail,loop,2.5,,111.0,Easy,,,,,45.51396,-122.67338
EasyCLIMB Loop Hike,loop,2.8,180.0,170.0,Easy,All year,Yes,No,No,,
Echo Lake via Hurricane Creek Trail,out-and-back,14.1,,3776.0,Hard,,,,,45.31129,-117.30713
Echo Mountain Bike Trail,loop,11.5,,925.0,Moderate,,,,,45.71245,-119.19904
Echo Mountain Trail,loop,2.0,,666.0,Moderate,,,,,44.41288,-122.08543
Ecola State Park to Indian Beach Trail [CLOSED],out-and-back,2.4,,580.0,Moderate,,,,,45.91957,-123.97416
Edison-Lava Trail,loop,4.2,,433.0,Moderate,,,,,43.93159,-121.59805
Eel Lake Trail,out-and-back,6.1,,925.0,Moderate,,,,,43.60281,-124.17828
Eel Lake Trail West,out-and-back,1.1,,118.0,Easy,,,,,43.60381,-124.1766
Eight Dollar Bridge,out-and-back,0.6,,32.0,Easy,,,,,42.24612,-123.68892
Eight Dollar Mountain Botanical Wayside,out-and-back,0.3,,19.0,Easy,,,,,42.23312,-123.66098
Eightmile Loop Trail,loop,6.6,,1128.0,Moderate,,,,,45.40629,-121.45452
Elijah Mountain Trail,loop,5.0,,1076.0,Hard,,,,,42.10167,-123.37887
Elk Cove Trail,loop,9.3,,2647.0,Hard,,,,,45.44669,-121.67742
Elk Creek Falls Trail,out-and-back,0.4,,239.0,Easy,,,,,42.81646,-124.01257
"Elk Creek Road, Wilson River and Idiot Creek Loop Road",out-and-back,10.6,,2608.0,Hard,,,,,45.6095,-123.46611
Elk Flats Trail,out-and-back,2.9,,616.0,Moderate,,,,,45.74835,-123.96254
Elk Lake OHV Trail,out-and-back,8.2,,1368.0,Moderate,,,,,44.80924,-122.11174
Elk Lake Trail,out-and-back,4.7,,255.0,Easy,,,,,43.96331,-121.80544
Elk Lake to Twin Lakes,out-and-back,10.8,,2368.0,Hard,,,,,44.82195,-122.1267
Elk Meadow Trail ,loop,6.4,,1102.0,Easy,,,,,45.32244,-121.63367
Elk Meadow Trail #667C,out-and-back,5.0,,994.0,Moderate,,,,,45.32531,-121.6353
Elk Meadows Loop,loop,13.7,,3221.0,Hard,,,,,45.41744,-121.57042
Elk Meadows South Trail,loop,5.7,,1056.0,Moderate,,,,,45.32233,-121.63364
Elk Mountain Loop Trail,loop,7.4,,2611.0,Hard,,,,,45.61017,-123.46673
Elk Mountain to King's Mountain Loop,loop,10.7,,3815.0,Hard,,,,,45.59731,-123.50629
Elk Ridge to Bluegrass Ridge Trail,loop,6.6,,1407.0,Moderate,,,,,45.32239,-121.63378
Elk Rock Island,loop,1.0,,49.0,Easy,,,,,45.43456,-122.64402
Elk Trail,loop,1.5,,9.0,Easy,,,,,43.94024,-122.84344
Elkhorn Crest Trail,out-and-back,20.0,,4655.0,Hard,,,,,44.91068,-118.26427
Elkhorn Ridge Loop,loop,16.1,,3914.0,Hard,,,,,44.7498,-118.10783
Elkhorn Scenic Byway,loop,109.1,,8261.0,Moderate,,,,,44.74746,-118.20126
Elkhorn Valley Campground,out-and-back,1.0,,39.0,Easy,,,,,44.79796,-122.45604
Ellie to the Trail of Lled Loop,loop,1.3,,39.0,Easy,,,,,44.03517,-121.26224
Elowah Falls Loop Hike,loop,2.1,255.0,340.0,Easy,Year-round except during winter storms,Yes,No,"Yes, as far as the falls",,
Elowah and Upper McCord Creek Falls Trail [CLOSED],loop,2.4,,862.0,Easy,,,,,45.61248,-122.00461
Enchanted Valley Trail,out-and-back,4.8,,206.0,Easy,,,,,44.05658,-124.05169
Erma Bell Lakes Trail,out-and-back,5.7,,1200.0,Moderate,,,,,43.86087,-122.04454
Erma Bell Williams Lake Loop,loop,7.8,,1049.0,Moderate,,,,,43.86028,-122.04551
Erratic Rock State Natural Site,out-and-back,0.5,,95.0,Easy,,,,,45.13767,-123.29076
Eula Ridge Trail to Hardesty Mountain,out-and-back,8.7,,3533.0,Hard,,,,,43.82483,-122.6204
Eureka Peak Trail,out-and-back,2.6,,944.0,Moderate,,,,,45.26411,-121.7586
Evans Trail,loop,7.2,,2673.0,Hard,,,,,45.38892,-118.10257
Evelyn Schiffler Park Loop,loop,0.5,,6.0,Easy,,,,,45.47897,-122.81292
Face Rock Viewpoint Trail,loop,0.2,,6.0,Easy,,,,,43.10526,-124.43435
Fairy Falls Loop Hike,loop,3.4,1575.0,1495.0,Moderate,All year,Yes,No,Yes,,
Fall Creek Falls Trail,out-and-back,1.1,,295.0,Easy,,,,,43.31329,-122.83543
Fall Creek National Recreation Trail,out-and-back,12.2,,1312.0,Moderate,,,,,43.96358,-122.61916
Fall Creek Trail,out-and-back,6.9,,1587.0,Moderate,,,,,43.99256,-122.37546
Fall River Loop,loop,4.4,,200.0,Easy,,,,,43.77639,-121.53106
Fall River Trail,out-and-back,5.9,,101.0,Easy,,,,,43.79094,-121.59134
Falls Creek trail to Legore Mine,out-and-back,4.8,,3024.0,Hard,,,,,45.31109,-117.3072
Fanno Creek Greenway Loop,loop,1.5,,177.0,Easy,,,,,45.47358,-122.72228
Fanno Creek Regional Trail,out-and-back,2.4,,111.0,Easy,,,,,45.46749,-122.75194
Fanno Creek Trail from Fanno Creek Park to Woodland Park,out-and-back,7.3,,88.0,Easy,,,,,45.46919,-122.79024
Fanton Trail #505,out-and-back,9.0,,1758.0,Hard,,,,,45.2436,-122.11939
Fat Rabbit Loop Trail,loop,5.0,,298.0,Moderate,,,,,44.24445,-121.28226
Fawn Lake Loop Trail,out-and-back,7.5,,1118.0,Moderate,,,,,43.50315,-121.976
Fawn Lake Trail,out-and-back,7.2,,954.0,Easy,,,,,43.50274,-121.97549
Fern Falls Trail,out-and-back,3.9,,547.0,Easy,,,,,43.33155,-123.00478
Fern Ridge Path,out-and-back,14.0,,144.0,Easy,,,,,44.06412,-123.20815
Fern Ridge Reservoir - Coast Foothills Ramble,loop,1.5,,3.0,Easy,,,,,44.12114,-123.30014
Fern Trail,loop,2.2,,239.0,Easy,,,,,42.68838,-124.43378
Fernhill Wetlands,loop,1.2,,6.0,Easy,,,,,45.50863,-123.09106
Fields Bridge Loop Trail,loop,0.4,,19.0,Easy,,,,,45.34812,-122.67593
Fifteen Mile Creek,loop,12.6,,2270.0,Hard,,,,,45.35028,-121.47421
Fifteen Mile Creek [PRIVATE PROPERTY],out-and-back,3.5,,147.0,Easy,,,,,45.45105,-121.11695
Fir Trail and Pine Trail Loop from South Trailhead,loop,5.3,,226.0,Moderate,,,,,44.4345,-121.69918
Fireland Road to Gasline Trail,out-and-back,2.9,,820.0,Easy,,,,,45.57449,-122.78773
"Firelane 4, Leif Erikson Drive, and Saltzman Road Loop",loop,3.0,,498.0,Moderate,,,,,45.56642,-122.75313
"Firelane 7, Wildwood and Firelane 5 Trail",out-and-back,6.3,,823.0,Moderate,,,,,45.57453,-122.78847
Firelanes 1 and 3 Loop,loop,8.4,,1033.0,Moderate,,,,,45.54034,-122.73669
First Street Rapids Park - Deschutes River Trail,out-and-back,5.9,,393.0,Easy,,,,,44.06722,-121.31382
Fish Creek Mountain Trail,loop,26.8,,3664.0,Hard,,,,,45.13704,-122.15634
Fish Lake,out-and-back,8.6,,1574.0,Moderate,,,,,43.08816,-122.55988
Fish Lake Alternate Approach,out-and-back,12.7,,3310.0,Hard,,,,,43.064,-122.42701
"Fish Lake, Cliff Lake, Buckeye Lake Loop",loop,12.9,,2837.0,Moderate,,,,,43.0882,-122.55854
Fisherman OHV Trail ,loop,35.4,,5203.0,Hard,,,,,43.59645,-117.11176
Fishermans Road,loop,8.7,,1955.0,Hard,,,,,43.60936,-117.25631
Fishing Rock Trail,out-and-back,0.5,,45.0,Moderate,,,,,44.84389,-124.04958
Fitton Green Natural Area Trail,out-and-back,5.0,,1190.0,Moderate,,,,,44.58966,-123.35557
Fitton Green Trail to Allen Throop Loop,loop,6.9,,1072.0,Moderate,,,,,44.57608,-123.32647
Flag Mountain Trail,out-and-back,4.0,,1207.0,Hard,,,,,45.31758,-121.90606
Flag Point,out-and-back,8.5,,2014.0,Moderate,,,,,45.34957,-121.47194
Flag Point Lookout Trail,out-and-back,6.7,,1154.0,Easy,,,,,45.34665,-121.45417
Flag Point and Lookout Mountain via Divide Trail,loop,16.3,,4183.0,Moderate,,,,,45.34959,-121.47193
Flagline Trail to Swampy-Dutchman Trail Loop,loop,11.4,,1358.0,Moderate,,,,,44.00065,-121.66434
Flatiron to Castle Trail Loop,loop,10.3,,557.0,Moderate,,,,,43.95769,-121.05103
"Flicker, Towhee, Upper Marquam Hill and Council Crest Trail",out-and-back,7.6,,1384.0,Moderate,,,,,45.49102,-122.6869
Floodplain Trail,loop,0.6,,19.0,Easy,,,,,45.50001,-122.3032
Floras Lake Beach Trail,out-and-back,2.3,,72.0,Easy,,,,,42.86682,-124.52347
Floras Lake Waterfall Trail ,out-and-back,5.3,,377.0,Moderate,,,,,42.90315,-124.50211
Floras Lake to New River Trail,out-and-back,2.0,,16.0,Easy,,,,,42.90286,-124.50199
Floras Lake to Oregon Coast Trail,out-and-back,3.1,,78.0,Moderate,,,,,42.90313,-124.50206
Flow Trail,out-and-back,4.4,,764.0,Moderate,,,,,44.96385,-118.23376
Fogarty Creek Loop,loop,3.4,,751.0,Moderate,,,,,44.83767,-124.04852
Foley Ridge Trail,out-and-back,14.7,,2368.0,Hard,,,,,44.15148,-121.94311
Ford's Pond Path ,loop,1.8,,29.0,Easy,,,,,43.39075,-123.3615
"Forest Edge, Meadow Lane, Douglas Fir, Summit Lake, Mountain View Loop",loop,3.7,,446.0,Moderate,,,,,45.49087,-122.49759
Forest Glen Trail,loop,0.4,,45.0,Moderate,,,,,44.59983,-123.26618
Forest Park Ridge Trail,out-and-back,2.8,,862.0,Moderate,,,,,45.58083,-122.76622
Forest Park: Germantown Road to Newberry Road,out-and-back,10.1,,1102.0,Moderate,,,,,45.58807,-122.79393
Forest Path - Kendall Natural Area,out-and-back,2.4,,39.0,Easy,,,,,44.55118,-123.25171
Forest Peak,out-and-back,7.2,,1601.0,Hard,,,,,44.71393,-123.29931
Forest Peak via Forest Peak Road [PRIVATE PROPERTY],out-and-back,2.8,,1384.0,Moderate,,,,,44.65079,-123.31333
Forked Horn Butte,loop,6.4,,1148.0,Moderate,,,,,44.45896,-120.59621
Fort Cascades Loop Hike,loop,1.3,60.0,15.0,Easy,year-round,Yes,No,No,,
Fort Hill Trail,loop,0.7,,82.0,Easy,,,,,45.06943,-123.57055
Fort Rains Hike,out-and-back,1.8,175.0,80.0,Easy,Year round,Yes,No,No,,
Fort Rock Loop,loop,1.1,,160.0,Easy,,,,,43.37293,-121.06637
Fort Stevens State Park Loop Trail,loop,1.0,,42.0,Easy,,,,,46.22677,-124.01276
Fort Stevens State Park Trails,loop,9.1,,127.0,Easy,,,,,46.18672,-123.96758
Fort to Sea Trail,out-and-back,6.1,,534.0,Moderate,,,,,46.13407,-123.88057
Founders Trail to Collins Trail Loop,loop,0.9,,203.0,Easy,,,,,45.52651,-122.73042
Four County Point Trail,out-and-back,1.7,,108.0,Easy,,,,,45.7809,-123.34726
Four In One Cone via Scott Trail #3531,out-and-back,8.9,,1427.0,Moderate,,,,,44.21314,-121.87796
Four Mile Lake Loop Trail,loop,14.9,,1646.0,Hard,,,,,42.45452,-122.24741
Fourmile Creek Trail,out-and-back,0.5,,6.0,Easy,,,,,43.01106,-124.4479
Frances Lake Trail,out-and-back,14.9,,4238.0,Hard,,,,,45.29369,-117.39438
Francis Shrader Old Growth Trail,loop,0.8,,137.0,Easy,,,,,42.49078,-124.28418
Frank Wade Park Trail,out-and-back,2.0,,452.0,Moderate,,,,,44.64622,-124.04542
Frazier Creek Loop,loop,6.3,,872.0,Moderate,,,,,44.61468,-123.26472
Fremont NRT Winter Rim Trail,out-and-back,2.4,,49.0,Easy,,,,,42.70292,-120.79839
French Pete Creek Trail,out-and-back,15.8,,2785.0,Hard,,,,,44.04214,-122.20667
Frenchglen Warm Spring Trail,out-and-back,3.0,,22.0,Easy,,,,,42.82385,-118.91172
Fret Creek Trail,out-and-back,4.8,,1240.0,Moderate,,,,,45.34966,-121.47194
Frog Lake Trail,out-and-back,1.4,,95.0,Moderate,,,,,45.22922,-121.69974
Frog Lake Trail to Frog Butte Trail,out-and-back,5.6,,1345.0,Moderate,,,,,45.22884,-121.69923
Ft. Hoskins Loop Trail,loop,1.7,,387.0,Moderate,,,,,44.67623,-123.46355
Fuji Mountain Trail,out-and-back,3.1,,938.0,Moderate,,,,,43.64945,-122.11212
Fuji Mountain from Waldo Road,out-and-back,12.1,,2372.0,Moderate,,,,,43.63406,-122.05006
Fuji Shelter Trail,out-and-back,7.7,,1377.0,Hard,,,,,43.60832,-122.11815
Fuji Shelter via Fuji Creek Road,out-and-back,7.1,,1266.0,Moderate,,,,,43.61401,-122.11777
Fuller Lake Trail,out-and-back,2.6,,521.0,Easy,,,,,43.39441,-122.5049
Funner and Tiddlywinks Loop,loop,12.3,,1256.0,Moderate,,,,,43.98139,-121.45841
Gabbert and Butler Buttes Trail Loop,loop,1.3,,331.0,Moderate,,,,,45.47366,-122.43458
Galen McBee Airport Park Loop,loop,1.1,,36.0,Easy,,,,,45.19726,-123.14676
Gales Creek Trail,out-and-back,11.3,,2007.0,Moderate,,,,,45.62358,-123.37592
Gales Creek to Triple C Loop,out-and-back,7.1,,1568.0,Moderate,,,,,45.70721,-123.33737
Garden Valley Trail,loop,0.6,,13.0,Easy,,,,,44.11115,-115.96967
Garfield Peak Trail,out-and-back,3.4,,1069.0,Moderate,,,,,42.91,-122.14199
Gate Creek Trail,out-and-back,5.9,,1624.0,Moderate,,,,,44.37144,-122.05548
Gearhart Mountain Trail,out-and-back,11.1,,2795.0,Hard,,,,,42.46163,-120.80002
Geologic Time Trail and Trail of Fossils,out-and-back,1.3,,249.0,Easy,,,,,44.91352,-120.41039
George Himes Park Loop,loop,1.2,,328.0,Moderate,,,,,45.47988,-122.6783
Giant Spruce Trail,out-and-back,1.9,,236.0,Easy,,,,,44.28092,-124.10853
Gillette Lake Hike,out-and-back,5.6,435.0,650.0,Easy,Year round,Yes,No,Yes,,
Gin Lin Mining Trail,loop,0.8,,170.0,Easy,,,,,42.11627,-123.08849
Glade Creek Trail,out-and-back,13.4,,3244.0,Moderate,,,,,44.85778,-118.67948
Glade Trail,out-and-back,6.3,,2129.0,Moderate,,,,,45.30472,-121.76309
Glendover Fitness Trail Loop,loop,2.0,,82.0,Easy,,,,,45.52695,-122.51979
Gleneden Beach State Park,loop,1.4,,55.0,Easy,,,,,44.87565,-124.03767
Glory Hole and Owyhee Reservoir OHV Loop,loop,36.1,,5229.0,Moderate,,,,,43.59634,-117.11209
Gnarl Ridge and Elk Meadows Trail Loop,loop,9.1,,1925.0,Moderate,,,,,45.32233,-121.63364
Gnat Creek Trail,out-and-back,6.6,,984.0,Moderate,,,,,46.17692,-123.50375
God's Thumb via The Knoll,out-and-back,4.4,,1007.0,Moderate,,,,,45.00813,-124.00884
Godfrey Glen Trail,loop,1.1,,65.0,Easy,,,,,42.86676,-122.14558
Gold Butte Fire Lookout,out-and-back,2.5,,734.0,Moderate,,,,,44.81877,-122.08686
Gold Hill to Tidbits Mountain ,out-and-back,8.6,,2162.0,Moderate,,,,,44.29232,-122.28839
Gold Lake Shelter to Eagle Rock and Odell Lake Overlook,loop,3.6,,318.0,Moderate,,,,,43.60419,-122.04529
Gold Lake SnoPark to Bechtel Shelter via Pengra Pass,out-and-back,4.5,,341.0,Moderate,,,,,43.60539,-122.04687
Gold Lake Snow Park to Odell Lake Viewpoint,out-and-back,2.5,,364.0,Easy,,,,,43.60346,-122.04582
Gold Lake Trail,out-and-back,3.3,,321.0,Moderate,,,,,43.61157,-122.05235
Golden Garden Lake Loop,loop,1.0,,22.0,Easy,,,,,44.09187,-123.1775
Golden Stairs,out-and-back,5.3,,1469.0,Moderate,,,,,42.90912,-122.50023
Golden and Silver Falls,out-and-back,1.2,,170.0,Easy,,,,,43.48211,-123.93284
Good Dog Loop,loop,3.5,,242.0,Moderate,,,,,44.01878,-121.3745
Goodman Trail,out-and-back,5.6,,997.0,Moderate,,,,,43.85149,-122.6618
Gordan Peak Trail,out-and-back,6.0,,964.0,Moderate,,,,,44.55983,-122.13192
Gordon Lakes Trail,out-and-back,3.6,,738.0,Moderate,,,,,44.35559,-122.26016
Gorge 400 Trail from John B Yeon to Cascade Locks [CLOSED],out-and-back,8.0,,1607.0,Moderate,,,,,45.61247,-122.00445
Gorge 400 Trail: Angels Rest to Ainsworth State Park [CLOSED],out-and-back,10.7,,2946.0,Moderate,,,,,45.56058,-122.17239
Gorge River Trail #400 to Tanner Creek [CLOSED],out-and-back,6.9,,1341.0,Moderate,,,,,45.61248,-122.00462
Gorge Trail 400: Bridge of the Gods Trailhead to Wyeth ,out-and-back,9.4,,1725.0,Moderate,,,,,45.66179,-121.89756
Government Camp to Enid Lake Loop via Maggie's Tie,loop,2.4,,285.0,Easy,,,,,45.30488,-121.76338
Grant Butte Loop,loop,1.5,,524.0,Moderate,,,,,45.50242,-122.46928
Grasshopper Meadow and Grasshopper Point,out-and-back,4.9,,987.0,Moderate,,,,,43.90292,-122.20696
Gray Butte,loop,6.4,,1778.0,Hard,,,,,44.42879,-121.0903
Gray Butte Big East Loop,loop,21.0,,3832.0,Hard,,,,,44.36719,-121.13722
Gray Butte to Smith Rock Overlook,out-and-back,9.4,,1538.0,Moderate,,,,,44.39723,-121.06279
Gray Butte via Cattle Gate,loop,4.6,,1456.0,Hard,,,,,44.40144,-121.09961
Grayback Clapboard Trail,out-and-back,11.8,,3169.0,Hard,,,,,42.07737,-123.34699
Grayback Interpretive Trail,out-and-back,0.5,,42.0,Easy,,,,,42.13914,-123.45862
Green Canyon Way Trail,out-and-back,5.7,,2490.0,Hard,,,,,45.28368,-121.94184
Green Lakes,out-and-back,9.1,,1187.0,Moderate,,,,,44.0311,-121.7364
Green Lakes Trail via Scott Trail,out-and-back,29.6,,4557.0,Hard,,,,,44.21314,-121.87796
Green Lakes and Soda Creek Loop,loop,13.1,,1656.0,Moderate,,,,,44.03095,-121.73539
Green Mountain Trail,out-and-back,15.2,,3333.0,Hard,,,,,44.39804,-120.70932
Green Ridge Trail,out-and-back,15.7,,1555.0,Moderate,,,,,44.4147,-121.60428
Green Valley Trail to Denman Cabin,out-and-back,4.6,,1453.0,Moderate,,,,,42.0385,-123.35008
Green and Blue Trails,loop,2.2,,249.0,Moderate,,,,,45.51574,-122.5961
Gresham Butte Saddle Trail,out-and-back,2.8,,685.0,Easy,,,,,45.48181,-122.44438
Gresham-Fairview Trail,out-and-back,6.5,,164.0,Easy,,,,,45.48967,-122.46662
Grey Butte Trail via Burma Road Trail,out-and-back,12.7,,3005.0,Hard,,,,,44.36678,-121.13624
Grizzly Peak Trail,loop,4.7,,921.0,Moderate,,,,,42.27217,-122.60644
Grotto Falls Trail,out-and-back,0.5,,187.0,Easy,,,,,43.2486,-122.82379
Grouse Gap Trail,loop,2.3,,469.0,Easy,,,,,42.07845,-122.73733
Grouse Loop Trail 941,loop,3.8,,872.0,Moderate,,,,,42.0517,-123.12839
Gumjuwac and Badger Creek Loop Trail,loop,11.4,,3103.0,Moderate,,,,,45.33959,-121.57011
Gunsight Butte Trail,out-and-back,7.5,,2332.0,Hard,,,,,45.33949,-121.57014
"Gunsight Butte via Gumjuwac, Badger Creek and Gunsight Trail ",loop,14.6,,3835.0,Hard,,,,,45.33981,-121.57018
Gunsight Ridge Trail,out-and-back,18.1,,3139.0,Hard,,,,,45.31004,-121.64179
Hackleman Creek Old-Growth Trail,loop,0.7,,65.0,Easy,,,,,44.39995,-122.09247
Hager Mountain Lookout via 160 Trail,out-and-back,7.3,,2043.0,Moderate,,,,,43.00593,-121.07123
Hagg Lake Trail Section H,out-and-back,8.2,,442.0,Easy,,,,,45.46935,-123.20343
Halls of Manzanita Trail,out-and-back,3.1,,757.0,Moderate,,,,,42.33081,-123.0072
Hamilton Creek Loop Hike,loop,2.3,75.0,20.0,Easy,All year,Yes,No,No,,
Hand Lake Trail,out-and-back,1.3,,154.0,Easy,,,,,44.22447,-121.87185
Hanging Rock Trail,out-and-back,1.7,,285.0,Easy,,,,,42.74332,-123.93992
Hard Stone Trail,out-and-back,3.2,,95.0,Easy,,,,,45.47709,-120.47228
Hardesty Mountain Trail,out-and-back,10.7,,3464.0,Hard,,,,,43.85162,-122.66192
Hardesty Trail,out-and-back,1.3,,347.0,Easy,,,,,45.57453,-122.7879
Hardesty Trail to Ridge Trail Loop,loop,3.3,,961.0,Moderate,,,,,45.58236,-122.76804
Hardy Ridge and Phlox Point Trail,out-and-back,6.8,,1998.0,Hard,,,,,45.64122,-122.03234
Harris Beach Trail to Harris Butte,out-and-back,0.5,,127.0,Easy,,,,,42.06841,-124.31416
Harris Butte Trail,out-and-back,0.2,,42.0,Easy,,,,,42.06845,-124.31176
Harris Park OHV Loop,loop,38.1,,6407.0,Moderate,,,,,45.83043,-118.16985
Harris Park Trail,out-and-back,11.3,,1013.0,Easy,,,,,45.83058,-118.1701
Harris Ranch Trail to Drift Creek,out-and-back,5.5,,1433.0,Moderate,,,,,44.42878,-123.93226
Hart's Cove Trail,out-and-back,5.3,,1079.0,Hard,,,,,45.06481,-123.99534
Harvey Creek Trail,out-and-back,1.1,,275.0,Easy,,,,,45.28764,-123.02499
Hatfield Marine Science Center Estuary Trail,out-and-back,1.1,,6.0,Easy,,,,,44.62338,-124.04469
Hawk Mountain Trail,out-and-back,4.4,,941.0,Moderate,,,,,44.83906,-121.94822
Hawthorn and Douglas Fir Trail Loop,loop,1.8,,318.0,Easy,,,,,45.48222,-122.51465
Hay Bottom Canyon From Spring Basin Trailhead,out-and-back,7.1,,2053.0,Moderate,,,,,44.87299,-120.44063
Hayrick Butte,loop,3.6,,538.0,Moderate,,,,,44.40803,-121.87142
Haystack Rock Trail,out-and-back,8.2,,137.0,Easy,,,,,45.88971,-123.96346
Head of the Metolius River Overview,out-and-back,0.5,,29.0,Easy,,,,,44.43326,-121.63397
Headgate and Rockbar Loop,loop,5.6,,170.0,Moderate,,,,,44.21173,-121.30303
"Headgate, Talon Fat Rabbit, Pumice Foot, Lost Dream",loop,11.1,,393.0,Moderate,,,,,44.21197,-121.30305
"Headwater Trail, Miller Trail, and PCT Loop",loop,5.7,,374.0,Moderate,,,,,45.10088,-121.74643
Heart of Darkness Loop,loop,37.0,,7263.0,Hard,,,,,44.35417,-119.78225
Hebo Lake to South Lake via Pioneer Indian Trail,out-and-back,14.6,,2952.0,Moderate,,,,,45.23025,-123.79558
Heceta Head Lighthouse Trail,out-and-back,0.9,,131.0,Easy,,,,,44.13487,-124.12275
Heceta Head Lighthouse to Hobbit Beach,out-and-back,3.6,,1003.0,Moderate,,,,,44.13484,-124.12274
Heckletooth Mountain,out-and-back,3.4,,1223.0,Moderate,,,,,43.74522,-122.38439
Hells Canyon Scenic Byway,out-and-back,135.6,,10298.0,Easy,,,,,44.91422,-116.95262
Hemlock Butte,out-and-back,1.2,,423.0,Easy,,,,,43.57545,-122.19291
Hemlock Falls Trail,out-and-back,1.0,,242.0,Moderate,,,,,43.21756,-122.72466
Henline Falls Trail,out-and-back,1.8,,249.0,Easy,,,,,44.84625,-122.32483
Henline Mountain Trail,out-and-back,6.5,,2821.0,Hard,,,,,44.84251,-122.30939
Henry Hagg Lake Trail From SW Scoggins Valley Road,loop,13.3,,885.0,Moderate,,,,,45.48286,-123.21039
Henry Hagg Lake Trail via SW West Shore Drive,loop,13.3,,905.0,Moderate,,,,,45.46988,-123.20529
Herman Creek Hike,out-and-back,15.4,2925.0,2970.0,Difficult,All year,"Yes, for a shorter distance",Yes,On summer weekends,,
Herman Creek Pinnacles Hike,out-and-back,4.6,970.0,1305.0,Easy,All year,Yes,No,"Yes, on weekends",,
Herman Creek Trail ,out-and-back,19.8,,5150.0,Hard,,,,,45.68295,-121.84194
Herman Creek to Wyeth Traverse,out-and-back,8.8,,1751.0,Moderate,,,,,45.68262,-121.84257
Herman Creek-Wyeth Hike,out-and-back,10.8,960.0,2175.0,Moderate,Year-Round,Yes (as a car shuttle),No,No,,
Hermiston Butte Trail,out-and-back,0.8,,114.0,Easy,,,,,45.8492,-119.30303
Heron Creek Loop Trail,loop,1.5,,82.0,Easy,,,,,45.38094,-122.62809
Hidden Falls Nature Park Trail,loop,1.0,,229.0,Easy,,,,,45.41698,-122.49591
Hidden Forest and Arnold Ice Cave Trail,out-and-back,0.8,,52.0,Easy,,,,,43.90562,-121.15947
Hidden Lake Trail,out-and-back,8.4,,2765.0,Hard,,,,,45.31346,-121.79979
"Hidden Lake, Lil's Lake, and Divide Lake from Willamette Pass via PCT",out-and-back,18.3,,2700.0,Moderate,,,,,43.59607,-122.03315
Hide and Seek and East Road 14 MTB Loop,loop,3.7,,659.0,Moderate,,,,,45.38078,-122.02975
Hideaway Lake,loop,0.7,,19.0,Easy,,,,,45.12342,-121.96723
High Lakes Trail,out-and-back,18.2,,1135.0,Moderate,,,,,42.3943,-122.31664
Highway 238: Jacksonville to Grants Pass,out-and-back,30.9,,1023.0,Easy,,,,,42.31481,-122.96939
Hileman Landing Loop,loop,1.4,,26.0,Easy,,,,,44.13779,-123.12594
Hillockburn Trail #516,out-and-back,2.6,,875.0,Moderate,,,,,45.1778,-122.24848
Hillsdale to the River Trail,loop,4.2,,662.0,Moderate,,,,,45.47832,-122.69276
Hinkle Lake Trail,out-and-back,4.0,,1053.0,Moderate,,,,,42.00838,-123.28349
Historic Black Butte Trail # 4026,out-and-back,9.8,,3389.0,Hard,,,,,44.42832,-121.65634
Historic Columbia River Highway State Trail,out-and-back,4.9,,387.0,Easy,,,,,45.64153,-121.92809
Historic Columbia River Highway State Trail: Hood River to Mosier,out-and-back,8.8,,784.0,Easy,,,,,45.70355,-121.48594
Hobart Bluff,out-and-back,2.3,,400.0,Easy,,,,,42.08539,-122.4816
Hobbit Trail and China Creek Trail Loop,loop,4.6,,364.0,Moderate,,,,,44.16111,-124.11692
Hoffer Lakes Trail,loop,2.4,,475.0,Easy,,,,,44.95833,-118.23351
Hogan Butte Nature Park,loop,0.6,,124.0,Easy,,,,,45.47431,-122.4266
Hogback Mountain,out-and-back,3.5,,1761.0,Moderate,,,,,42.22165,-121.71179
